episode,timestep,reward
136,2000,16.6183
268,4000,16.8539
376,6000,18.8109
491,8000,18.2783
580,10000,21.3912
661,12000,22.8434
727,14000,24.6101
794,16000,25.2892
847,18000,31.7031
897,20000,29.891
940,22000,36.6304
981,24000,35.131
1018,26000,41.747
1055,28000,42.0884
1087,30000,47.1573
1119,32000,45.0492
1150,34000,45.7455
1183,36000,46.5691
1208,38000,54.3557
1240,40000,47.5242
1265,42000,60.552
1292,44000,46.6023
1322,46000,54.0245
1350,48000,49.7782
1375,50000,62.1582
1401,52000,56.7967
1429,54000,56.1337
1453,56000,57.7893
1481,58000,59.5557
1509,60000,57.8421
1534,62000,62.3765
1556,64000,69.1028
1581,66000,71.8699
1607,68000,58.77
1634,70000,58.3233
1661,72000,62.1909
1687,74000,66.9389
1713,76000,64.8631
1738,78000,55.8485
1764,80000,69.6362
1792,82000,58.2239
1819,84000,58.4215
1845,86000,61.0261
1869,88000,63.4601
1894,90000,66.8277
1921,92000,66.8584
1948,94000,65.7665
1973,96000,69.1913
1999,98000,67.229
2024,100000,68.29
2049,102000,70.4607
2077,104000,62.4711
2104,106000,65.4636
2131,108000,68.8837
2156,110000,65.6753
2184,112000,67.8257
2211,114000,67.574
2239,116000,65.5366
2266,118000,69.5029
2293,120000,66.0715
2320,122000,69.5505
2349,124000,65.4624
2376,126000,67.4105
2401,128000,72.524
2425,130000,70.1532
2451,132000,71.9999
2476,134000,71.507
2502,136000,76.0061
2526,138000,75.7093
2552,140000,67.1554
2579,142000,75.6042
2605,144000,75.199
2631,146000,73.1355
2655,148000,75.5558
2681,150000,72.8252
2706,152000,77.358
2731,154000,74.5116
2758,156000,74.4854
2783,158000,80.2752
2808,160000,78.5098
2834,162000,77.8805
2861,164000,79.0158
2887,166000,73.8797
2912,168000,77.9185
2937,170000,74.8257
2959,172000,77.2177
2984,174000,80.1599
3011,176000,77.2011
3035,178000,85.0092
3061,180000,76.6066
3086,182000,79.7579
3109,184000,85.7348
3132,186000,87.5978
3157,188000,84.644
3183,190000,75.2731
3209,192000,75.4423
3233,194000,84.4181
3256,196000,84.7892
3278,198000,90.0584
3304,200000,77.5613
3330,202000,76.4925
3355,204000,81.3379
3376,206000,98.2368
3400,208000,83.7806
3421,210000,85.6844
3446,212000,83.7367
3470,214000,86.6082
3493,216000,87.8172
3513,218000,97.2722
3531,220000,109.7193
3554,222000,89.7945
3578,224000,83.7255
3600,226000,89.3756
3621,228000,98.8691
3639,230000,103.4295
3657,232000,108.7102
3673,234000,119.6199
3689,236000,118.8666
3704,238000,122.9994
3726,240000,94.9673
3749,242000,91.9549
3768,244000,105.6712
3789,246000,91.4218
3805,248000,119.0322
3826,250000,92.9878
3847,252000,94.5534
3864,254000,123.8096
3878,256000,132.2996
3895,258000,126.7307
3906,260000,162.842
3926,262000,107.0257
3943,264000,122.3988
3960,266000,123.5653
3978,268000,115.1488
3990,270000,142.7007
4006,272000,123.9093
4027,274000,98.9597
4045,276000,121.556
4061,278000,122.4658
4074,280000,151.4087
4093,282000,112.4186
4108,284000,134.3824
4121,286000,146.3187
4141,288000,109.0056
4152,290000,170.5181
4171,292000,101.4805
4188,294000,123.2092
4199,296000,154.7961
4213,298000,158.1656
4224,300000,154.6184
4244,302000,107.6536
4261,304000,121.0514
4274,306000,146.0588
4285,308000,147.0349
4295,310000,184.5411
4308,312000,134.6699
4319,314000,172.4929
4330,316000,163.1389
4341,318000,173.6184
4353,320000,150.1339
4362,322000,193.8614
4370,324000,189.2621
4380,326000,156.5705
4390,328000,183.411
4401,330000,175.3436
4412,332000,164.4866
4419,334000,212.9274
4431,336000,148.9139
4441,338000,178.6742
4455,340000,138.3368
4462,342000,190.4707
4468,344000,284.6954
4480,346000,172.3226
4486,348000,185.6273
4496,350000,203.9101
4503,352000,217.7294
4513,354000,166.0191
4525,356000,137.2777
4534,358000,191.2602
4544,360000,152.2318
4554,362000,195.341
4563,364000,197.6763
4572,366000,177.1165
4578,368000,305.4993
4584,370000,245.3423
4590,372000,265.2075
4603,374000,131.0541
4613,376000,189.4832
4622,378000,189.9519
4632,380000,158.1634
4644,382000,178.6074
4657,384000,145.4307
4661,386000,303.4481
4671,388000,216.6171
4679,390000,218.8274
4684,392000,253.5792
4695,394000,169.223
4701,396000,207.6848
4711,398000,208.5192
4716,400000,297.0604
4723,402000,230.4904
4733,404000,198.8713
4742,406000,191.9303
4752,408000,191.4889
4760,410000,179.6371
4763,412000,526.694
4770,414000,249.3215
4776,416000,237.2687
4787,418000,184.9771
4796,420000,186.6286
4803,422000,241.6308
4808,424000,258.1436
4816,426000,263.9148
4822,428000,274.6067
4828,430000,265.7296
4838,432000,153.4374
4842,434000,382.2605
4854,436000,166.1216
4862,438000,215.4562
4871,440000,178.4308
4880,442000,194.9863
4889,444000,208.8296
4897,446000,222.311
4902,448000,218.5073
4909,450000,305.2611
4915,452000,195.3822
4921,454000,261.1146
4926,456000,377.2917
4935,458000,161.0643
4939,460000,435.2635
4944,462000,285.2973
4951,464000,207.5523
4957,466000,276.882
4962,468000,352.0581
4966,470000,406.4073
4969,472000,292.2347
4978,474000,238.405
4986,476000,209.1809
4992,478000,266.6168
5001,480000,163.7771
5010,482000,195.4402
5019,484000,187.0758
5022,486000,530.3725
5030,488000,223.3581
5034,490000,368.4453
5039,492000,202.6897
5042,494000,474.9075
5052,496000,178.7645
5056,498000,370.4174
5060,500000,338.3946
5063,502000,476.8454
5069,504000,327.5326
5076,506000,209.8119
5079,508000,491.3351
5081,510000,697.7805
5084,512000,499.6633
5088,514000,375.5446
5091,516000,417.146
5097,518000,295.2616
5099,520000,689.5437
5103,522000,404.4537
5109,524000,245.3134
5112,526000,438.6065
5119,528000,227.0497
5121,530000,711.9791
5124,532000,480.7716
5128,534000,421.4685
5131,536000,469.972
5133,538000,611.1885
5138,540000,320.936
5140,542000,695.8779
5146,544000,318.9071
5149,546000,458.2474
5152,548000,511.9956
5157,550000,295.9874
5159,552000,707.2397
5163,554000,380.4454
5166,556000,455.7678
5170,558000,459.9831
5175,560000,314.9133
5178,562000,304.7092
5181,564000,519.5789
5187,566000,345.2605
5191,568000,348.0384
5195,570000,429.3647
5202,572000,254.0548
5208,574000,238.1263
5217,576000,246.4179
5225,578000,212.938
5229,580000,429.8475
5235,582000,233.7217
5240,584000,314.9057
5245,586000,351.7869
5249,588000,408.6161
5252,590000,429.3109
5255,592000,528.5302
5257,594000,669.5478
5265,596000,257.8557
5271,598000,296.0068
5276,600000,225.4458
5279,602000,513.2235
5284,604000,309.0832
5291,606000,280.9079
5294,608000,502.8887
5297,610000,504.4269
5302,612000,320.0061
5307,614000,297.2565
5309,616000,721.6432
5314,618000,376.4558
5318,620000,321.4072
5324,622000,284.5214
5332,624000,241.2238
5335,626000,506.1576
5341,628000,258.9896
5345,630000,295.6864
5351,632000,300.8036
5358,634000,300.2401
5362,636000,244.6921
5371,638000,263.4792
5373,640000,712.7042
5375,642000,598.7192
5383,644000,240.2321
5390,646000,237.9506
5393,648000,536.117
5395,650000,567.9537
5401,652000,349.1422
5405,654000,381.1194
5410,656000,382.3488
5414,658000,384.6713
5420,660000,296.8625
5428,662000,129.2159
5435,664000,337.5775
5438,666000,525.9497
5448,668000,181.4362
5456,670000,232.0271
5462,672000,282.0716
5470,674000,210.2649
5478,676000,197.8229
5480,678000,616.3611
5484,680000,419.0732
5488,682000,510.5999
5492,684000,331.3952
5497,686000,390.4395
5502,688000,281.522
5504,690000,727.2982
5507,692000,593.9839
5515,694000,217.7278
5517,696000,693.4357
5521,698000,286.9938
5527,700000,371.267
5530,702000,577.2795
5534,704000,280.9947
5540,706000,356.904
5546,708000,280.4916
5555,710000,186.6331
5563,712000,254.3994
5571,714000,168.5837
5575,716000,481.6943
5580,718000,327.2979
5584,720000,420.3141
5589,722000,335.1955
5593,724000,374.1576
5598,726000,284.1235
5602,728000,518.1213
5605,730000,506.7726
5607,732000,724.9855
5610,734000,358.9526
5613,736000,648.9466
5616,738000,515.7744
5621,740000,249.7863
5625,742000,489.9095
5627,744000,538.9285
5631,746000,471.3216
5634,748000,535.0872
5637,750000,389.3978
5640,752000,521.6604
5642,754000,753.1626
5645,756000,537.242
5650,758000,395.9548
5654,760000,443.0099
5661,762000,207.4615
5664,764000,543.4224
5668,766000,459.0983
5673,768000,394.7221
5679,770000,198.2857
5685,772000,376.6706
5689,774000,428.0124
5694,776000,258.8541
5697,778000,535.8422
5701,780000,381.1486
5708,782000,335.9857
5713,784000,343.2836
5716,786000,548.6253
5721,788000,324.918
5725,790000,459.4805
5728,792000,554.6911
5730,794000,514.2902
5733,796000,552.0995
5738,798000,360.9233
5743,800000,468.4638
5745,802000,517.6833
5749,804000,459.0583
5755,806000,361.487
5759,808000,419.3005
5762,810000,519.1088
5764,812000,743.6256
5767,814000,511.0645
5770,816000,595.4797
5774,818000,457.1812
5779,820000,370.1358
5787,822000,233.21
5793,824000,269.5991
5797,826000,488.9606
5802,828000,291.2294
5807,830000,430.4021
5812,832000,283.5084
5815,834000,571.4246
5819,836000,461.1087
5821,838000,532.1661
5826,840000,479.1686
5834,842000,226.4265
5838,844000,455.1376
5842,846000,398.805
5846,848000,362.3479
5853,850000,313.1537
5856,852000,411.6873
5860,854000,373.8607
5868,856000,310.5838
5874,858000,304.3866
5877,860000,542.506
5881,862000,397.9409
5886,864000,376.4775
5890,866000,416.319
5893,868000,573.9697
5896,870000,469.622
5900,872000,562.4875
5907,874000,234.6519
5912,876000,338.4805
5917,878000,399.6328
5920,880000,568.228
5925,882000,378.8162
5928,884000,382.988
5932,886000,562.1389
5939,888000,261.3873
5941,890000,724.1626
5945,892000,422.086
5947,894000,774.637
5951,896000,486.317
5953,898000,784.051
5956,900000,578.3152
5962,902000,313.0809
5965,904000,440.3959
5970,906000,389.7786
5972,908000,730.1135
